"Text","Language"
"The science that treats of computation of time or of investigation and arrangement of events.","English"
"A portable timekeeper of the highest attainable precision.","English"
"To calculate arithmetically. (also a noun meaning zero or nothing)","English"
"To disseminate.","English"
"The boundary-line of a circle.","English"
"Indirect or roundabout expression.","English"
"To sail quite around.","English"
"To confine within bounds.","English"
"Showing watchfulness, caution, or careful consideration.","English"
"Any strong fortress.","English"
"To refer to specifically.","English"
"One who makes a claim or demand, as of right.","English"
"Intuitive sagacity or perception.","English"
"Urgent in complaint or demand.","English"
"A tribe.","English"
"Surreptitious.","English"
"Clanking or a ringing, as of arms, chains, or bells; clamor.","English"
"To render intelligible.","English"
"A small shrill trumpet or bugle.","English"
"To arrange in a class or classes on the basis of observed resemblance’s and differences.","English"
"A certificate from the proper authorities that a vessel has complied with the law and may sail.","English"
"Mercy.","English"
"Compassionate.","English"
"Having the sails set for sailing as close to the wind as possible.","English"
"One who makes or sells cloth or clothing.","English"
"Awkward of movement.","English"
"To change into a clot or a jelly, as by heat, by chemical action, or by a ferment.","English"
"Producing coagulation.","English"
"The act or process of coming together so as to form one body, combination, or product.","English"
"Combination in a body or mass.","English"
"To treat as a baby or an invalid.","English"
"A supplement adding to, revoking, or explaining in the body of a will.","English"
"To force.","English"
"Forcible constraint or restraint, moral or physical.","English"
"Serving or tending to force.","English"
"Appealing strongly to the reason or conscience.","English"
"Akin.","English"
"Taking notice.","English"
"To stick together.","English"
"Consistency.","English"
"Having the property of consistency.","English"
"To correspond.","English"
"A circumstance so agreeing with another: often implying accident.","English"
"Taking place at the same time.","English"
"To labor or cooperate with another or others, especially in literary or scientific pursuits.","English"
"To cause to shrink, fall in, or fail.","English"
"That may or can collapse.","English"
"An associate in professional employment.","English"
"Consisting of a number of persons or objects considered as gathered into a mass, or sum.","English"
"One who makes a collection, as of objects of art, books, or the like.","English"
"A college student.","English"
"To meet and strike violently.","English"
"One who works in a coal-mine.","English"
"Violent contact.","English"
"Pertaining or peculiar to common speech as distinguished from literary.","English"
"Form of speech used only or chiefly in conversation.","English"
"Conversation.","English"
"A secret agreement for a wrongful purpose.","English"
"Any strikingly great person or object.","English"
"Handsome.","English"
"Fit to be eaten.","English"
"Funny.","English"
"To serve as a remembrance of.","English"
"A series of illustrative or explanatory notes on any important work.","English"
"To blend.","English"
"The department of an army charged with the provision of its food and water and daily needs.","English"
"To empower.","English"
"The act or process of entrusting or consigning for safe-keeping.","English"
"The act, fact, or result of committing, or the state of being","English"
"Something that is bought and sold.","English"
"A disturbance or violent agitation.","English"
"To put something, especially something less severe, in place of.","English"
"Fit to be compared.","English"
"Relative.","English"
"Examination of two or more objects with reference to their likeness or unlikeness.","English"
"To remunerate.","English"
"Adequate qualification or capacity.","English"
"Qualified.","English"
"characterized by rivalry.","English"
"A rival.","English"
"Satisfaction with one's acts or surroundings.","English"
"Pleased or satisfied with oneself.","English"
"Politeness.","English"
"Agreeable.","English"
"To make complete.","English"
"Complicated.","English"
"Yielding.","English"
"To make complex, difficult, or hard to deal with.","English"
"An intermingling or combination of things or parts, especially in a perplexing manner.","English"
"Participation or partnership, as in wrong-doing or with a wrong-doer.","English"
"To address or gratify with expressions of delicate praise.","English"
"A constituent element or part.","English"
"To conduct or behave (oneself).","English"
"Calmness.","English"
"Intelligible.","English"
"Ability to know.","English"
"Large in scope or content.","English"
"To press together or into smaller space.","English"
"Capable of being pressed into smaller compass.","English"
"Constraint, as by force or authority.","English"
"To consist of.","English"
"Coercion.","English"
"Forced.","English"
"Remorseful feeling.","English"
"To ascertain by mathematical calculation.","English"
"To surrender.","English"
"Self-flattering opinion.","English"
"To form an idea, mental image or thought of.","English"
"A musical composition.","English"
"Anything granted or yielded, or admitted in response to a demand, petition, or claim.","English"
"To obtain the friendship of.","English"
"Tending to reconcile.","English"
"Sufficient to convince or decide.","English"
"Harmony.","English"
"Harmony.","English"
"To agree.","English"
"Agreement.","English"
"Occurring or acting together.","English"
"A violent shock to some organ by a fall or a sudden blow.","English"
"The act or process of making dense or denser.","English"
"To abridge.","English"
"To come down voluntarily to equal terms with inferiors.","English"
"Expression of sympathy with a person in pain, sorrow, or misfortune.","English"
"To bring about.","English"
"Contributing to an end.","English"
"Capable of being conducted or transmitted.","English"
"A means for conducting something, particularly a tube, pipe, or passageway for a fluid.","English"
"The candy collectively that a confectioner makes or sells, as candy.","English"
"A number of states or persons in compact or league with each other, as for mutual aid.","English"
"One who is united with others in a league, compact, or agreement.","English"
"To bestow.","English"
"A person with whom another confers.","English"
"A spiritual advisor.","English"
"One to whom secrets are entrusted.","English"
"To reveal in trust or confidence.","English"
"The state or feeling of trust in or reliance upon another.","English"
"Assured.","English"
"Restriction within limits or boundaries.","English"
"To appropriate (private property) as forfeited to the public use or treasury.","English"
"A great fire, as of many buildings, a forest, or the like.","English"
"The place where streams meet.","English"
"A stream that unites with another.","English"
"The act or state or conforming.","English"
"Harmonious.","English"
"General structure, form, or outline.","English"
"Correspondence in form, manner, or use.","English"
"To encounter, as difficulties or obstacles.","English"
"To coagulate.","English"
"Having kindred character or tastes.","English"
"To collect into a mass.","English"
"To bring together into a crowd.","English"
"Cone-bearing trees.","English"
"A guess.","English"
"To unite.","English"
"Pertaining to marriage, marital rights, or married persons.","English"
"Joined together in pairs.","English"
"The state or condition of being joined together.","English"
"The state of being joined together, or the things so joined.","English"
"To be in collusion.","English"
"A critical judge of art, especially one with thorough knowledge and sound judgment of art.","English"
"To mean; signify.","English"
"Pertaining to marriage or matrimony.","English"
"To overcome by force.","English"
"Descended from the same parent or ancestor.","English"
"The faculty in man by which he distinguishes between right and wrong in character and conduct.","English"
"Governed by moral standard.","English"
"Aware that one lives, feels, and thinks.","English"
"To force into military service.","English"
"To set apart as sacred.","English"
"Following in uninterrupted succession.","English"
"A collective unanimous opinion of a number of persons.","English"
"Tendency to adhere to the existing order of things.","English"
"Adhering to the existing order of things.","English"
"An institution for instruction and training in music and declamation.","English"
"To entrust.","English"
"A person to whom goods or other property has been entrusted.","English"
"One who entrusts.","English"
"A state of permanence.","English"
"To comfort.","English"
"To combine into one body or system.","English"
"The state or quality of being in accord with.","English"
"Being in agreement or harmony with.","English"
"A companion or associate.","English"
"Clearly visible.","English"
"One who agrees with others to cooperate in accomplishing some unlawful purpose.","English"
"To plot.","English"
"An officer whose duty is to maintain the peace.","English"
"An arbitrary assemblage or group of stars.","English"
"Panic.","English"
"The inhabitants or voters in a district represented in a legislative body.","English"
"One who has the right to vote at an election.","English"
"To bind.","English"
"An officer appointed to reside in a foreign city, chiefly to represent his country.","English"
"The place in which a consul transacts official business.","English"
"To bring to completion.","English"
"Gradual destruction, as by burning, eating, etc., or by using up, wearing out, etc.","English"
"Designed for gradual destruction.","English"
"The communication of disease from person to person.","English"
"Transmitting disease.","English"
"To pollute.","English"
"To consider thoughtfully.","English"
"Living, occurring, or existing at the same time.","English"
"Living or existing at the same time.","English"
"Worthy of scorn or disdain.","English"
"Disdainful.","English"
"One who exerts oneself in opposition or rivalry.","English"
"Proximity.","English"
"Touching or joining at the edge or boundary.","English"
"Self-restraint with respect to desires, appetites, and passion.","English"
"Possibility of happening.","English"
"Not predictable.","English"
"Permanence.","English"
"Prolongation.","English"
"Uninterrupted connection in space, time, operation, or development.","English"
"Connected, extended, or prolonged without separation or interruption of sequence.","English"
"To twist into a misshapen form.","English"
"Trade forbidden by law or treaty.","English"
"The assertion of the opposite of that which has been said.","English"
"Inconsistent with itself.","English"
"A placing opposite.","English"
"To prevent or obstruct the operation of.","English"
"The act of giving for a common purpose.","English"
"One who gives or furnishes, in common with others, for a common purpose.","English"
"Broken in spirit because of a sense of sin.","English"
"The act planning, devising, inventing, or adapting something to or for a special purpose.","English"
"To manage or carry through by some device or scheme.","English"
"To exercise a directing, restraining, or governing influence over.","English"
"One who or that which regulates or directs.","English"
"Rebellious.","English"
"Contemptuous disregard of the requirements of rightful authority.","English"
"To bruise by a blow, either with or without the breaking of the skin.","English"
"A bruise.","English"
"To recover after a sickness.","English"
"The state of progressive restoration to health and strength after the cessation of disease.","English"
"Recovering health after sickness.","English"
"To summon or cause to assemble.","English"
"Fitness, as of time or place.","English"
"To cause to incline and approach nearer together.","English"
"Tending to one point.","English"
"Thoroughly informed.","English"
"Change from one state or position to another, or from one form to another.","English"
"Interchangeable.","English"
"Curving like the segment of the globe or of the surface of a circle.","English"
"That by which anything is transported.","English"
"Devoted to feasting, or to good-fellowship in eating or drinking.","English"
"A winding motion.","English"
"To move with a circling or winding motion.","English"
"A protecting force accompanying property in course of transportation.","English"
"To cause spasms in.","English"
"A violent and abnormal muscular contraction of the body.","English"
"Plenteous.","English"
"A flirt.","English"
"An ornamental molding running round the walls of a room close to the ceiling.","English"
"The horn of plenty, symbolizing peace and prosperity.","English"
"A proposition following so obviously from another that it requires little demonstration.","English"
"The act or ceremony of crowning a monarch.","English"
"Inferior crown denoting, according to its form, various degrees of noble rank less than sovereign.","English"
"Belonging or relating to the body as opposed to the mind.","English"
"Belonging to a corporation.","English"
"Of a material nature; physical.","English"
"A number or body of persons in some way associated or acting together.","English"
"A dead body.","English"
"Obese.","English"
"A minute particle of matter.","English"
"To put in some relation of connection or correspondence.","English"
"Mutually involving or implying one another.","English"
"Capable of reformation.","English"
"To strengthen, as proof or conviction.","English"
"Confirmation.","English"
"To ruin or destroy little by little.","English"
"Gradual decay by crumbling or surface disintegration.","English"
"That which causes gradual decay by crumbling or surface disintegration.","English"
"Open to bribery.","English"
"Loss of purity or integrity.","English"
"Pertaining to the art of beautifying, especially the complexion.","English"
"Pertaining to the universe.","English"
"A doctrine of creation or of the origin of the universe.","English"
"The science that describes the universe, including astronomy, geography, and geology.","English"
"The general science of the universe.","English"
"Common to all the world.","English"
"A cosmopolitan character.","English"
"The world or universe considered as a system, perfect in order and arrangement.","English"
"A cross-demand alleged by a defendant in his favor against the plaintiff.","English"
"To act in opposition to.","English"
"To oppose with an equal force.","English"
"To accuse in return.","English"
"Made to resemble something else.","English"
"Something taken with another for the completion of either.","English"
"To offset.","English"
"A house or office used for transacting business, bookkeeping, correspondence, etc.","English"
"A rustic.","English"
"Brave.","English"
"Line of motion or direction.","English"
"A fleet and spirited horse.","English"
"Politeness originating in kindness and exercised habitually.","English"
"An agreement entered into by two or more persons or parties.","English"
"Concealed, especially for an evil purpose.","English"
"A flock of quails or partridges.","English"
"To crouch down tremblingly, as through fear or shame.","English"
"One who steers a rowboat, or one who has charge of a ship's boat and its crew under an officer.","English"
"A rugged, rocky projection on a cliff or ledge.","English"
"The skull of an animal, especially that part enclosing the brain.","English"
"Coarse or thick in nature or structure, as opposed to thin or fine.","English"
"A vehement desire.","English"
"A sharp, harsh, squeaking sound.","English"
"A butter-making establishment.","English"
"Resembling or containing cream.","English"
"Belief.","English"
"Believable.","English"
"Easily deceived.","English"
"A formal summary of fundamental points of religious belief.","English"
"A place for cremating dead bodies.","English"
"A deep crack or fissure in the ice of a glacier.","English"
"A small fissure, as between two contiguous surfaces.","English"
"A standard by which to determine the correctness of a judgment or conclusion.","English"
"A criticism or critical review.","English"
"Earthenware made from baked clay.","English"
"A trying and purifying test or agency.","English"
"Any concerted movement, vigorously prosecuted, in behalf of an idea or principle.","English"
"Pertaining to a division of arthropods, containing lobsters, crabs, crawfish, etc.","English"
"Having a crust-like shell.","English"
"Anything written in characters that are secret or so arranged as to have hidden meaning.","English"
"To bring together or give fixed shape to.","English"
"A short thick stick used as a club.","English"
"Of or pertaining to cooking or the kitchen.","English"
"To pick or sort out from the rest.","English"
"Guilty.","English"
"A guilty person.","English"
"Any artificial covered channel for the passage of water through a bank or under a road, canal.","English"
"Avarice.","English"
"Capable of being remedied or corrected.","English"
"A person having charge as of a library or museum.","English"
"A piece of bric-a-brac.","English"
"Writing in which the letters are joined together.","English"
"Rapid and superficial.","English"
"Concise, compressed, and abrupt in act or expression.","English"
"To cut off or cut short.","English"
"A downward movement of the body by bending the knees.","English"
"Like a circle.","English"
"A young swan.","English"
"Exhibiting moral skepticism.","English"
"Contempt for the opinions of others and of what others value.","English"
"That to which general interest or attention is directed.","English"
"Brave.","English"
"Blindly.","English"
"The doctrine that natural selection has been the prime cause of evolution of higher forms.","English"
"A base coward.","English"
"A premise, starting-point, or given fact.","English"
"Fearless.","English"
"A day-laborer.","English"
"A race in which two or more competitors come out even, and there is no winner.","English"
"Scarcity, as of something customary, essential ,or desirable.","English"
"A human skull as a symbol of death.","English"
"To lower in character or virtue.","English"
"Subject to contention or dispute.","English"
"Having gentle or courteous bearing or manner.","English"
"A first appearance in society or on the stage.","English"
"A figure with ten sides and ten angles.","English"
"A weight of 10 grams.","English"
"A liquid and dry measure of 10 liters.","English"
"The ten commandments.","English"
"A volume consisting of ten parts or books.","English"
"A length of ten meters.","English"
"To leave suddenly or unexpectedly.","English"
"To behead.","English"
"Ten-footed or ten-armed.","English"
"A line of ten syllables.","English"
"Falsehood.","English"
"Fraudulent.","English"
"To mislead by or as by falsehood.","English"
"Moral fitness.","English"
"Characterized by propriety of conduct, speech, manners, or dress.","English"
"Falling off at maturity as petals after flowering, fruit when ripe, etc.","English"
"Founded on the number 10.","English"
"To destroy a measurable or large proportion of.","English"
"To find out the true words or meaning of, as something hardly legible.","English"
"Conclusive.","English"
"A speech recited or intended for recitation from memory in public.","English"
"A full and formal style of utterance.","English"
"Containing a formal, positive, or explicit statement or affirmation.","English"
"The change of endings in nouns and adj. to express their different relations of gender.","English"
"To embellish.","English"
"Suitable for the occasion or circumstances.","English"
"Anything that allures, or is intended to allures into danger or temptation.","English"
"Enfeebled, as by old age or some chronic infirmity.","English"
"The voluntary consecration or relinquishment of something to an end or cause.","English"
"To derive or draw as a conclusion by reasoning from given premises or principles.","English"
"To mar or disfigure the face or external surface of.","English"
"To cut off or take away, as a part of something.","English"
"Malicious and groundless injury done to the reputation or good name of another.","English"
"To slander.","English"
"The neglect or omission of a legal requirement.","English"
"A person against whom a suit is brought.","English"
"Capable of being maintained or justified.","English"
"Carried on in resistance to aggression.","English"
"To delay or put off to some other time.","English"
"Respectful submission or yielding, as to another's opinion, wishes, or judgment.","English"
"Characterized by bold or insolent opposition.","English"
"Lack or insufficiency.","English"
"Not having an adequate or proper supply or amount.","English"
"Having an exact signification or positive meaning.","English"
"To cause to turn aside or downward.","English"
"To clear of forests.","English"
"To disfigure.","English"
"A disfigurement.","English"
"To deprive of something dishonestly.","English"
"To make payment for.","English"
"A becoming worse.","English"
"To become worse or inferior.","English"
"Diminution, as of strength or magnitude.","English"
"To take away honors or position from.","English"
"To deprive of water.","English"
"To regard or worship as a god.","English"
"To deem worthy of notice or account.","English"
"One who believes in God, but denies supernatural revelation.","English"
"A god, goddess, or divine person.","English"
"To dishearten.","English"
"Melancholy.","English"
"Delightful to the taste or to the senses.","English"
"Delight.","English"
"Hurtful, morally or physically.","English"
"That which is agreeable to a fine taste.","English"
"To represent by sketch or diagram.","English"
"To dissolve gradually and become liquid by absorption of moisture from the air.","English"
"Raving.","English"
"To mislead the mind or judgment of.","English"
"To overwhelm with a flood of water.","English"
"Mistaken conviction, especially when more or less enduring.","English"
"To deprive (a magnet) of magnetism.","English"
"An unprincipled politician.","English"
"Deportment.","English"
"Insane.","English"
"A mark for failure or bad conduct.","English"
"Death.","English"
"To disband, as troops.","English"
"To annihilate.","English"
"Capable of positive proof.","English"
"To prove indubitably.","English"
"Inclined to strong exhibition or expression of feeling or thoughts.","English"
"One who proves in a convincing and conclusive manner.","English"
"Any application soothing to an irritable surface","English"
"the detention of a vessel beyond the specified time of sailing.","English"
"Like a tree.","English"
"The natural history of trees.","English"
"Inhabitant.","English"
"To give a name or epithet to.","English"
"A body of Christians united by a common faith and form of worship and discipline.","English"
"Part of a fraction which expresses the number of equal parts into which the unit is divided.","English"
"To designate by word or mark.","English"
"That part of a play or story in which the mystery is cleared up.","English"
"To point out or publicly accuse as deserving of punishment, censure, or odium.","English"
"Any preparation used for cleaning the teeth.","English"
"To strip the covering from.","English"
"The act of declaring an action or person worthy of reprobation or punishment.","English"
"To reduce or lessen, as by use, exhaustion, or waste.","English"
"Contemptible.","English"
"To regard with grief or sorrow.","English"
"Laying down.","English"
"To remove the inhabitants from.","English"
"To take or send away forcibly, as to a penal colony.","English"
"Demeanor.","English"
"Testimony legally taken on interrogatories and reduced to writing, for use as evidence in court.","English"
"One who makes a deposit, or has an amount deposited.","English"
"A place where anything is kept in safety.","English"
"To render bad, especially morally bad.","English"
"To express disapproval or regret for, with hope for the opposite.","English"
"To lessen the worth of.","English"
"A lowering in value or an underrating in worth.","English"
"To press down.","English"
"A falling of the spirits.","English"
"Deepness.","English"
"Neglectful of obligation.","English"
"To ridicule.","English"
"Open to ridicule.","English"
"Ridicule.","English"
"That process by which a word is traced from its original root or primitive form and meaning.","English"
"Coming or acquired from some origin.","English"
"To deduce, as from a premise.","English"
"The branch of medical science which relates to the skin and its diseases.","English"
"An apparatus for hoisting and swinging great weights.","English"
"One who is descended lineally from another, as a child, grandchild, etc.","English"
"Proceeding downward.","English"
"The act of moving or going downward.","English"
"To discern.","English"
"To abandon without regard to the welfare of the abandoned","English"
"Any remedy which, when applied externally, dries up or absorbs moisture, as that of wounds.","English"
"To select or appoint, as by authority.","English"
"To cease from action.","English"
"Cessation.","English"
"Utter hopelessness and despondency.","English"
"One without regard for law or life.","English"
"Resorted to in a last extremity, or as if prompted by utter despair.","English"
"Contemptible.","English"
"In spite of.","English"
"To lose spirit, courage, or hope.","English"
"Disheartened.","English"
"An absolute and irresponsible monarch.","English"
"Any severe and strict rule in which the judgment of the governed has little or no part.","English"
"Poverty-stricken.","English"
"Not connected with what precedes.","English"
"To frighten away.","English"
"To grow worse.","English"
"Definitely limited or fixed.","English"
"The act of deciding.","English"
"Hindering from action through fear.","English"
"To dislike or hate with intensity.","English"
"To take away in such manner as to lessen value or estimation.","English"
"Something that causes damage, depreciation, or loss.","English"
"To push down forcibly.","English"
"To take a different course.","English"
"Malicious mischief.","English"
"Wanton and malicious mischief.","English"
"Out of the common or regular track.","English"
"To invent.","English"
"Religious.","English"
"Readiness, precision, efficiency, and ease in any physical activity or in any mechanical work.","English"
"Characteristic of the devil.","English"
"Marking a difference.","English"
"To distinguish, as a disease, by its characteristic phenomena.","English"
"Determination of the distinctive nature of a disease.","English"
"Forms of speech collectively that are peculiar to the people of a particular district.","English"
"A logician.","English"
"A formal conversation in which two or more take part.","English"
"Transparent.","English"
"Containing only two atoms.","English"
"A bitter or malicious criticism.","English"
"A positive utterance.","English"
"Pertaining to teaching.","English"
"Dissimilarity in any respect.","English"
"Any essential characteristic of a species by reason of which it differs from other species.","English"
"Distinctive.","English"
"To acquire a distinct and separate character.","English"
"Self-distrust.","English"
"Affected or possessed with self-distrust.","English"
"Spreading rapidly through the system and acting quickly.","English"
"Dispersion.","English"
"One who holds high rank.","English"
"A union of two characters representing a single sound.","English"
"To turn aside from the main subject and for a time dwell on some incidental matter.","English"
"Fallen into decay or partial ruin.","English"
"To enlarge in all directions.","English"
"Tending to cause delay.","English"
"A situation in which a choice between opposing modes of conduct is necessary.","English"
"A superficial amateur.","English"
"Careful and persevering effort to accomplish what is undertaken.","English"
"To make more fluid or less concentrated by admixture with something.","English"
"Reduction.","English"
"Obscurely.","English"
"The sound produced by combining two vowels in to a single syllable or running together the sounds.","English"
"Tact, shrewdness, or skill in conducting any kind of negotiations or in social matters.","English"
"A representative of one sovereign state at the capital or court of another.","English"
"Characterized by special tact in negotiations.","English"
"One remarkable for tact and shrewd management.","English"
"To be opposite in opinion.","English"
"To withhold permission or sanction.","English"
"To cease to exist, either actually or for the time being.","English"
"To fail to fulfill the expectation, hope, wish, or desire of.","English"
"To regard with blame.","English"
"To deprive of weapons.","English"
"To throw out of order.","English"
"To disclaim responsibility for.","English"
"Denial.","English"
"One who refuses to believe.","English"
"To disencumber.","English"
"To pay out or expend, as money from a fund.","English"
"To reject.","English"
"Perceivable.","English"
"One who believes the teaching of another, or who adopts and follows some doctrine.","English"
"Having the nature of systematic training or subjection to authority.","English"
"To train to obedience.","English"
"To disavow any claim to, connection with, or responsibility to.","English"
"To stain.","English"
"To put to confusion.","English"
"The state of being positively uncomfortable.","English"
"To undo or dissolve the connection or association of.","English"
"Grief-stricken.","English"
"Interruption or intermission.","English"
"Absence of harmoniousness.","English"
"To look upon with disfavor.","English"
"To get first sight or knowledge of, as something previously unknown or unperceived.","English"
"To injure the reputation of.","English"
"Judicious.","English"
"Opposite.","English"
"To draw a distinction.","English"
"Passing from one subject to another.","English"
"Debate.","English"
"To deprive of any right privilege or power","English"
"To become detached.","English"
"Disregard.","English"
"To impair or injure the beauty, symmetry, or appearance of.","English"
"Undress or negligent attire.","English"
"Untrustworthy.","English"
"To disenchant.","English"
"To remove or destroy the poison of infectious or contagious diseases.","English"
"A substance used to destroy the germs of infectious diseases.","English"
"To deprive of an inheritance.","English"
"Impartial.","English"
"Helping or serving to disconnect or separate.","English"
"To put out of proper place or order.","English"
"Displacement by authority from an office or an employment.","English"
"To throw down, push off, or otherwise remove from a horse or the like.","English"
"Neglect or refusal to comply with an authoritative injunction.","English"
"Neglecting or refusing to obey.","English"
"To refuse to acknowledge as one's own or as connected with oneself.","English"
"To regard or speak of slightingly.","English"
"Inequality.","English"
"To drive away by or as by scattering in different directions.","English"
"That which is bestowed on or appointed to one from a higher power.","English"
"To put out of the proper or accustomed place.","English"
"To deprive of actual occupancy, especially of real estate.","English"
"Verbal controversy.","English"
"To debar.","English"
"To deprive of peace or tranquillity.","English"
"To take no notice of.","English"
"Dishonorable or disgraceful.","English"
"A bad name or character.","English"
"To unclothe.","English"
"To burst or break asunder.","English"
"To displease.","English"
"To cut apart or to pieces.","English"
"The act or operation of cutting in pieces, specifically of a plant or an animal.","English"
"To hide by pretending something different.","English"
"To sow or scatter abroad, as seed is sown.","English"
"Angry or violent difference of opinion.","English"
"Disagreement.","English"
"One who disagrees.","English"
"Contentious.","English"
"Thesis.","English"
"An ill turn.","English"
"To divide.","English"
"Different.","English"
"To disperse or disappear.","English"
"The state of being dispersed or scattered.","English"
"Lewd.","English"
"A breaking up of a union of persons.","English"
"To liquefy or soften, as by heat or moisture.","English"
"Discord.","English"
"Harsh or disagreeable in sound.","English"
"To change the purpose or alter the plans of by persuasion, counsel, or pleading.","English"
"The act of changing the purpose of or altering the plans of through persuasion, or pleading.","English"
"A word of two syllables.","English"
"A disease or malady.","English"
"To stretch out or expand in every direction.","English"
"Capable of being stretched out or expanded in every direction.","English"
"Expansion.","English"
"To extract or produce by vaporization and condensation.","English"
"Separation of the more volatile parts of a substance from those less volatile.","English"
"One occupied in the business of distilling alcoholic liquors.","English"
"A note or designation of honor, officially recognizing superiority or success in studies.","English"
"To twist into an unnatural or irregular form.","English"
"To subject a person to distress.","English"
"One who subjects a person to distress.","English"
"Bewildered.","English"
"Lack of confidence in the power, wisdom, or good intent of any person.","English"
"Separation of relations or interests.","English"
"Daily.","English"
"Digression.","English"
"Tending in different directions.","English"
"Capable of various forms.","English"
"Pastime.","English"
"Dissimilitude.","English"
"To turn from the accustomed course or a line of action already established.","English"
"Able to be turned from the accustomed course or a line of action already established.","English"
"To strip, specifically of clothes, ornaments, or accouterments or disinvestment.","English"
"The pretended forecast of future events or discovery of what is lost or hidden.","English"
"The quality or character of being godlike.","English"
"Capable of being separated into parts.","English"
"That by which a number or quantity is divided.","English"
"To tell or make known, as something previously private or secret.","English"
"A divulging.","English"
"Easy to manage.","English"
"The registry of judgments of a court.","English"
"The female of the deer.","English"
"A statement of religious faith or duty formulated by a body claiming authority.","English"
"Making statements without argument or evidence.","English"
"To make positive assertions without supporting them by argument or evidence.","English"
"Melancholy.","English"
"Melancholy.","English"
"Lamentation.","English"
"Expressing or causing sorrow or pain.","English"
"A sphere or field of action or interest.","English"
"Life in or fondness for one's home and family.","English"
"The place where one lives.","English"
"Ascendancy.","English"
"Conspicuously prominent.","English"
"To influence controllingly.","English"
"Control by the exercise of power or constituted authority.","English"
"To rule with insolence or unnecessary annoyance.","English"
"To bestow as a gift, especially for a worthy cause.","English"
"One who makes a donation or present.","English"
"A person to whom a donation is made.","English"
"One who makes a donation or present.","English"
"Being in a state of or resembling sleep.","English"
"One of a pair of like things.","English"
"In twofold degree or extent.","English"
"The property which a wife brings to her husband in marriage.","English"
"A modern and an ancient Greek coin.","English"
"A net to be drawn along the bottom of the water.","English"
"In the British army, a cavalryman.","English"
"The means of draining collectively, as a system of conduits, trenches, pipes, etc.","English"
"One who writes plays.","English"
"To relate or represent in a dramatic or theatrical manner.","English"
"Acting vigorously.","English"
"Dry weather, especially when so long continued as to cause vegetation to wither.","English"
"Heavy with sleepiness.","English"
"Hard and constant work in any menial or dull occupation.","English"
"Doubtful.","English"
"A young duck.","English"
"Capable of being drawn out, as into wire or a thread.","English"
"A composition for two voices or instruments.","English"
"To make a demand or repeated demands on for payment.","English"
"Having two parts.","English"
"Double-dealing.","English"
"Confinement.","English"
"The period of time during which anything lasts.","English"
"Showing submission to natural superiors.","English"
"Subject to a duty, especially a customs duty.","English"
"Obedient.","English"
"To diminish or become less.","English"
"The force which, applied to a mass of one gram for 1 second, would give it a velocity of 1 cm/s.","English"
"Ardent in spirit and speech.","English"
"Anything made of clay and baked in a kiln or dried in the sun.","English"
"Edible.","English"
"Showing enthusiasm or exhilaration of feeling.","English"
"Peculiar.","English"
"Idiosyncrasy.","English"
"The obstruction of a heavenly body by its entering into the shadow of another body.","English"
"To spend sparingly.","English"
"Rapturous excitement or exaltation.","English"
"Enraptured.","English"
"Suitable to be eaten.","English"
"That which is uttered or proclaimed by authority as a rule of action.","English"
"To build up, or strengthen, especially in morals or religion.","English"
"An article in a periodical written by the editor and published as an official argument.","English"
"To draw out.","English"
"To obliterate.","English"
"A consequence.","English"
"Fit for a destined purpose.","English"
"Efficient.","English"
"Womanishness.","English"
"Having womanish traits or qualities.","English"
"To bubble up.","English"
"Giving off bubbles of gas.","English"
"Exhausted, as having performed its functions.","English"
"Effective.","English"
"The power to produce an intended effect as shown in the production of it.","English"
"The state of possessing adequate skill or knowledge for the performance of a duty.","English"
"Having and exercising the power to produce effects or results.","English"
"The state of being flowery, or a flowery appearance.","English"
"Opening in flower.","English"
"A noxious or ill-smelling exhalation from decaying or putrefying matter.","English"
"Unblushing impudence.","English"
"Splendor.","English"
"To pour forth.","English"
"an outpouring.","English"
"The theory that places man's chief good in the completeness of self.","English"
"One who advocates or practices egoism.","English"
"Self-conceit.","English"
"One given to self-mention or who is constantly telling of his own views and experiences.","English"
"Extreme.","English"
"Any place of exit.","English"
"To expel.","English"
"To quietly terminate: said of time.","English"
"That property of matter by which a body tends to return to a former shape after being changed.","English"
"The process of decomposing a chemical compound by the passage of an electric current.","English"
"A metallic copy of any surface, as a coin.","English"
"A lyric poem lamenting the dead.","English"
"A component or essential part.","English"
"To educe or extract gradually or without violence.","English"
"Qualified for selection.","English"
"To separate and cast aside.","English"
"Relating to Elizabeth, queen of England, or to her era.","English"
"The art of correct intonation, inflection, and gesture in public speaking or reading.","English"
"Having the ability to express emotion or feeling in lofty and impassioned speech.","English"
"To bring out more clearly the facts concerning.","English"
"To evade the search or pursuit of by dexterity or artifice.","English"
"Evasion.","English"
"To waste away in flesh.","English"
"To flow forth or proceed, as from some source.","English"
"To release from bondage.","English"
"Authoritative stoppage of foreign commerce or of any special trade.","English"
"To make a beginning in some occupation or scheme.","English"
"To render flustered or agitated.","English"
"To make beautiful or elegant by adding attractive or ornamental features.","English"
"To misappropriate secretly.","English"
"To set forth publicly or in glowing terms.","English"
"A symbol.","English"
"To express, formulate, or exemplify in a concrete, compact or visible form.","English"
"To give courage to.","English"
"An obstruction or plugging up of an artery or other blood-vessel.","English"
"To involve in dissension or strife.","English"
"To come into view or into existence.","English"
"A coming into view.","English"
